Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,
1680,Aa en Hunze,Drenthe,22,
738,Aalburg,Noord-Brabant,30,
358,Aalsmeer,Noord-Holland,27,
197,Aalten,Gelderland,25,
59,Achtkarspelen,Friesland,21,
482,Alblasserdam,Zuid-Holland,28,
613,Albrandswaard,Zuid-Holland,28,
361,Alkmaar,Noord-Holland,27,
141,Almelo,Overijssel,23,
34,Almere,Flevoland,24,
484,Alphen aan den Rijn,Zuid-Holland,28,
1723,Alphen-Chaam,Noord-Brabant,30,
60,Ameland,Friesland,21,
307,Amersfoort,Utrecht,26,
362,Amstelveen,Noord-Holland,27,
363,Amsterdam,Noord-Holland,27,
200,Apeldoorn,Gelderland,25,
3,Appingedam,Groningen,20,
202,Arnhem,Gelderland,25,
106,Assen,Drenthe,22,
743,Asten,Noord-Brabant,30,
744,Baarle-Nassau,Noord-Brabant,30,
308,Baarn,Utrecht,26,
489,Barendrecht,Zuid-Holland,28,
203,Barneveld,Gelderland,25,
5,Bedum,Groningen,20,
888,Beek,Limburg,31,
370,Beemster,Noord-Holland,27,
889,Beesel,Limburg,31,
7,Bellingwedde,Groningen,20,
1945,Berg en Dal,Gelderland,25,
1724,Bergeijk,Noord-Brabant,30,
893,Bergen (L.),Limburg,31,
373,Bergen (NH.),Noord-Holland,27,
748,Bergen op Zoom,Noord-Brabant,30,
1859,Berkelland,Gelderland,25,
1721,Bernheze,Noord-Brabant,30,
753,Best,Noord-Brabant,30,
209,Beuningen,Gelderland,25,
375,Beverwijk,Noord-Holland,27,
63,het Bildt,Friesland,21,
310,De Bilt,Utrecht,26,
585,Binnenmaas,Zuid-Holland,28,
1728,Bladel,Noord-Brabant,30,
376,Blaricum,Noord-Holland,27,
377,Bloemendaal,Noord-Holland,27,
1901,Bodegraven-Reeuwijk,Zuid-Holland,28,
755,Boekel,Noord-Brabant,30,
9,Ten Boer,Groningen,20,
1681,Borger-Odoorn,Drenthe,22,
147,Borne,Overijssel,23,
654,Borsele,Zeeland,29,
756,Boxmeer,Noord-Brabant,30,
757,Boxtel,Noord-Brabant,30,
758,Breda,Noord-Brabant,30,
501,Brielle,Zuid-Holland,28,
1876,Bronckhorst,Gelderland,25,
213,Brummen,Gelderland,25,
899,Brunssum,Limburg,31,
312,Bunnik,Utrecht,26,
313,Bunschoten,Utrecht,26,
214,Buren,Gelderland,25,
502,Capelle aan den IJssel,Zuid-Holland,28,
383,Castricum,Noord-Holland,27,
109,Coevorden,Drenthe,22,
1706,Cranendonck,Noord-Brabant,30,
611,Cromstrijen,Zuid-Holland,28,
1684,Cuijk,Noord-Brabant,30,
216,Culemborg,Gelderland,25,
148,Dalfsen,Overijssel,23,
1891,Dantumadiel,Friesland,21,
503,Delft,Zuid-Holland,28,
10,Delfzijl,Groningen,20,
762,Deurne,Noord-Brabant,30,
150,Deventer,Overijssel,23,
384,Diemen,Noord-Holland,27,
1774,Dinkelland,Overijssel,23,
221,Doesburg,Gelderland,25,
222,Doetinchem,Gelderland,25,
766,Dongen,Noord-Brabant,30,
58,Dongeradeel,Friesland,21,
505,Dordrecht,Zuid-Holland,28,
498,Drechterland,Noord-Holland,27,
1719,Drimmelen,Noord-Brabant,30,
303,Dronten,Flevoland,24,
225,Druten,Gelderland,25,
226,Duiven,Gelderland,25,
1711,Echt-Susteren,Limburg,31,
385,Edam-Volendam,Noord-Holland,27,
228,Ede,Gelderland,25,
317,Eemnes,Utrecht,26,
1651,Eemsmond,Groningen,20,
770,Eersel,Noord-Brabant,30,
1903,Eijsden-Margraten,Limburg,31,
772,Eindhoven,Noord-Brabant,30,
230,Elburg,Gelderland,25,
114,Emmen,Drenthe,22,
388,Enkhuizen,Noord-Holland,27,
153,Enschede,Overijssel,23,
232,Epe,Gelderland,25,
233,Ermelo,Gelderland,25,
777,Etten-Leur,Noord-Brabant,30,
1722,Ferwerderadiel,Friesland,21,
70,Franekeradeel,Friesland,21,
1940,De Fryske Marren,Friesland,21,
779,Geertruidenberg,Noord-Brabant,30,
236,Geldermalsen,Gelderland,25,
1771,Geldrop-Mierlo,Noord-Brabant,30,
1652,Gemert-Bakel,Noord-Brabant,30,
907,Gennep,Limburg,31,
689,Giessenlanden,Zuid-Holland,28,
784,Gilze en Rijen,Noord-Brabant,30,
1924,Goeree-Overflakkee,Zuid-Holland,28,
664,Goes,Zeeland,29,
785,Goirle,Noord-Brabant,30,
1942,Gooise Meren,Noord-Holland,27,
512,Gorinchem,Zuid-Holland,28,
513,Gouda,Zuid-Holland,28,
786,Grave,Noord-Brabant,30,
518,'s-Gravenhage,Zuid-Holland,28,
14,Groningen,Groningen,20,
15,Grootegast,Groningen,20,
1729,Gulpen-Wittem,Limburg,31,
158,Haaksbergen,Overijssel,23,
788,Haaren,Noord-Brabant,30,
392,Haarlem,Noord-Holland,27,
393,Haarlemmerliede en Spaarnwoude,Noord-Holland,27,
394,Haarlemmermeer,Noord-Holland,27,
1655,Halderberge,Noord-Brabant,30,
160,Hardenberg,Overijssel,23,
243,Harderwijk,Gelderland,25,
523,Hardinxveld-Giessendam,Zuid-Holland,28,
17,Haren,Groningen,20,
72,Harlingen,Friesland,21,
244,Hattem,Gelderland,25,
396,Heemskerk,Noord-Holland,27,
397,Heemstede,Noord-Holland,27,
246,Heerde,Gelderland,25,
74,Heerenveen,Friesland,21,
398,Heerhugowaard,Noord-Holland,27,
917,Heerlen,Limburg,31,
1658,Heeze-Leende,Noord-Brabant,30,
399,Heiloo,Noord-Holland,27,
400,Den Helder,Noord-Holland,27,
163,Hellendoorn,Overijssel,23,
530,Hellevoetsluis,Zuid-Holland,28,
794,Helmond,Noord-Brabant,30,
531,Hendrik-Ido-Ambacht,Zuid-Holland,28,
164,Hengelo,Overijssel,23,
796,'s-Hertogenbosch,Noord-Brabant,30,
252,Heumen,Gelderland,25,
797,Heusden,Noord-Brabant,30,
534,Hillegom,Zuid-Holland,28,
798,Hilvarenbeek,Noord-Brabant,30,
402,Hilversum,Noord-Holland,27,
1735,Hof van Twente,Overijssel,23,
1911,Hollands Kroon,Noord-Holland,27,
118,Hoogeveen,Drenthe,22,
18,Hoogezand-Sappemeer,Groningen,20,
405,Hoorn,Noord-Holland,27,
1507,Horst aan de Maas,Limburg,31,
321,Houten,Utrecht,26,
406,Huizen,Noord-Holland,27,
677,Hulst,Zeeland,29,
353,IJsselstein,Utrecht,26,
1884,Kaag en Braassem,Zuid-Holland,28,
166,Kampen,Overijssel,23,
678,Kapelle,Zeeland,29,
537,Katwijk,Zuid-Holland,28,
928,Kerkrade,Limburg,31,
1598,Koggenland,Noord-Holland,27,
79,Kollumerland en Nieuwkruisland,Friesland,21,
588,Korendijk,Zuid-Holland,28,
542,Krimpen aan den IJssel,Zuid-Holland,28,
1931,Krimpenerwaard,Zuid-Holland,28,
1659,Laarbeek,Noord-Brabant,30,
1685,Landerd,Noord-Brabant,30,
882,Landgraaf,Limburg,31,
415,Landsmeer,Noord-Holland,27,
416,Langedijk,Noord-Holland,27,
1621,Lansingerland,Zuid-Holland,28,
417,Laren,Noord-Holland,27,
22,Leek,Groningen,20,
545,Leerdam,Zuid-Holland,28,
80,Leeuwarden,Friesland,21,
81,Leeuwarderadeel,Friesland,21,
546,Leiden,Zuid-Holland,28,
547,Leiderdorp,Zuid-Holland,28,
1916,Leidschendam-Voorburg,Zuid-Holland,28,
995,Lelystad,Flevoland,24,
1640,Leudal,Limburg,31,
327,Leusden,Utrecht,26,
733,Lingewaal,Gelderland,25,
1705,Lingewaard,Gelderland,25,
553,Lisse,Zuid-Holland,28,
140,Littenseradiel,Friesland,21,
262,Lochem,Gelderland,25,
809,Loon op Zand,Noord-Brabant,30,
331,Lopik,Utrecht,26,
24,Loppersum,Groningen,20,
